City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
225,Imeni Poliny Osipenko,RU,2022-01-10 02:37:45,52.4201,136.4853,-10.79,94,98,2.73,overcast clouds
226,Mucurapo,TT,2022-01-10 02:37:46,10.6667,-61.5333,75.25,87,55,7.96,broken clouds
227,Kawalu,ID,2022-01-10 02:37:46,-7.3817,108.2082,85.21,63,83,2.01,light rain
228,Aripuana,BR,2022-01-10 02:37:46,-9.1667,-60.6333,71.04,99,94,2.37,overcast clouds
229,Kenora,CA,2022-01-10 02:37:47,49.8167,-94.4337,-15.23,69,0,8.05,clear sky
230,Cabadiangan,PH,2022-01-10 02:37:48,9.7531,122.4739,85.14,68,30,5.95,scattered clouds
231,Mehamn,NO,2022-01-10 02:38:48,71.0357,27.8492,31.62,69,99,22.86,overcast clouds
232,Nome,US,2022-01-10 02:38:49,64.5011,-165.4064,6.87,47,0,23.02,clear sky
233,Labuhan,ID,2022-01-10 02:38:49,-6.8844,112.2051,85.68,67,94,6.98,overcast clouds
234,Mahebourg,MU,2022-01-10 02:38:49,-20.4081,57.7,78.26,94,75,3.44,broken clouds
235,Egvekinot,RU,2022-01-10 02:38:50,66.3167,-179.1667,-8.09,59,0,14.07,clear sky
236,Lompoc,US,2022-01-10 02:34:30,34.6391,-120.4579,57.34,86,0,0.0,clear sky
237,Pahrump,US,2022-01-10 02:38:51,36.2083,-115.9839,51.06,33,0,3.0,clear sky
238,Berdigestyakh,RU,2022-01-10 02:38:51,62.0989,126.6992,-32.1,98,69,1.95,broken clouds
239,Plettenberg Bay,ZA,2022-01-10 02:38:51,-34.0527,23.3716,71.17,72,100,1.61,overcast clouds
240,Varhaug,NO,2022-01-10 02:38:52,58.6147,5.6457,38.89,70,89,24.85,overcast clouds
241,Leningradskiy,RU,2022-01-10 02:38:52,69.3833,178.4167,-17.07,92,51,1.92,broken clouds
242,Sola,VU,2022-01-10 02:38:53,-13.8833,167.55,82.8,75,100,14.03,overcast clouds
243,Arraial Do Cabo,BR,2022-01-10 02:38:53,-22.9661,-42.0278,68.58,93,100,5.01,light rain
244,Teeli,RU,2022-01-10 02:38:54,51.0333,90.2333,-2.7,94,100,0.11,overcast clouds
245,Saint-Pierre,RE,2022-01-10 02:38:54,-21.3393,55.4781,77.29,79,20,4.61,few clouds
246,Chernyshevskiy,RU,2022-01-10 02:34:18,63.0128,112.4714,-18.72,93,100,4.32,overcast clouds
247,Puerto El Triunfo,SV,2022-01-10 02:38:55,13.2833,-88.55,83.32,67,33,4.32,scattered clouds
248,Laguna,US,2022-01-10 02:38:55,38.421,-121.4238,54.1,84,0,1.01,clear sky
249,Victoria,HK,2022-01-10 02:34:55,22.2855,114.1577,69.24,78,99,1.01,overcast clouds
250,Tessalit,ML,2022-01-10 02:36:34,20.1986,1.0114,55.26,20,25,9.51,scattered clouds
251,Lodja,CD,2022-01-10 02:38:56,-3.4833,23.4333,67.57,95,100,0.2,light rain
252,Bestobe,KZ,2022-01-10 02:38:57,52.4994,73.0975,-4.5,98,6,7.11,clear sky
253,Severnyy,RU,2022-01-10 02:38:57,50.677,36.5532,32.04,93,100,8.95,shower drizzle
254,Angoram,PG,2022-01-10 02:38:57,-4.0625,144.0661,85.3,74,62,5.03,broken clouds
255,Souillac,MU,2022-01-10 02:38:58,-20.5167,57.5167,78.37,94,75,3.44,broken clouds
256,Katsuura,JP,2022-01-10 02:38:58,35.1333,140.3,51.19,78,100,19.39,overcast clouds
257,Wanning,CN,2022-01-10 02:38:59,18.8003,110.3967,75.06,70,24,6.82,few clouds
